protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all
DCTPP1	-61.7416518587774	22.2601887897953	17.8907746290678	-139.632921732941	22.0380268683485	17.384294321181	-112.753715091566	22.201985986487	17.6990978532524
DDC	-3.151481961661	21.3936001283797	16.2416043034434	-3.51745576329401	21.090305618876	15.4547291644797	-5.20396843146764	21.436378009979	16.5490053294818
DDR1	-21.4706623760108	21.937262938607	17.60017735652	-44.2548766705356	21.7301029820655	16.9730657728718	-32.6854766869239	22.08392477862	17.6494147224346
DDR2	-7.57467748728046	21.0196877601117	16.9172244215601	-10.478818670268	20.7774138918018	16.3375627250166	-16.2191939341438	21.2010673482499	17.0072338705611
DDX19B	-12.4662763372592	21.7349113326817	17.4135963685577	-5.20438813381087	21.1327173397449	15.8337043918172	-12.7988595000304	21.8032187043067	17.0589131619284
DHH	-9.15957874981851	22.4682358920254	17.2929040429298	-2.43393422473067	20.3221663767282	15.110858741831	-6.37496651584959	21.6793476277328	16.87061261255
DIABLO	-4.48467389010639	20.4792609810312	16.0620700047245	-29.3139179879174	22.125947044822	17.0064219023429	-8.53934341506998	21.7371002892438	16.8982240328179
DKK1	-7.93071022538833	21.3797833852925	17.3704095552814	-5.50127477373075	21.6204224606585	16.0905221492166	-12.8114210761035	21.6167604825459	17.4535897423121
DKK3	-0.144069253174464	15.5367957566052	12.3594654871159	-3.27750844344394	19.4078949347163	14.0798075000527	-1.10868085097755	17.9278434594825	13.8561243243461
DKK4	0.18460686232587	14.7846261460435	11.7627622211727	0.390257274254892	14.2716372604303	10.8886101216565	0.208488443020732	15.0252506618655	11.9666861985115
DKKL1	-5.41155561120487	21.220090132567	16.0495897182174	-14.2471794877197	21.4684878952085	16.81748352485	-6.85061474414569	21.479003289352	16.5487088429166
DLL1	-0.828809270196545	18.135171894494	13.4179850409155	-1.046267401932	18.9392407817629	13.6250174605352	-0.827895467945601	18.750880675812	13.6208235551829
DLL4	-3.27716512307524	20.3662344376513	15.6119757350763	-8.86297737267486	21.7187463972023	16.4917445305434	-5.10712227058475	21.5889245634917	16.4697808941455
DNAJB1	-5.92813433130499	21.1037475151643	16.7946857277663	-4.42050571827764	20.964889223207	15.4850992214199	-18.6546086384953	21.6429197763432	17.0766067036114
DNAJC19	-3.16705763167651	20.196266215852	16.7083218981517	-1.73924534909402	19.1787872922469	14.8738303522131	-3.73641550158014	19.7984047785962	16.1819457383688
DPP7	-21.1110254796541	22.1370698952951	17.3756573278283	-24.1889079308724	21.6376422561981	16.7046274759147	-71.2816793947928	22.3856686462074	17.6274121108255
DPT	0.073362267493945	15.6144123723928	11.2927876765146	-2.22161550719633	19.757942757943	14.8472425832173	-1.03159304595215	18.4440805854249	13.7703174153913
